@relation image_classification
@attribute hog_0 real
@attribute hog_1 real
@attribute hog_2 real
@attribute hog_3 real
@attribute hog_4 real
@attribute hog_5 real
@attribute hog_6 real
@attribute hog_7 real
@attribute hog_8 real
@attribute hog_9 real
@attribute hog_10 real
@attribute hog_11 real
@attribute hog_12 real
@attribute hog_13 real
@attribute hog_14 real
@attribute hog_15 real
@attribute hog_16 real
@attribute hog_17 real
@attribute hog_18 real
@attribute hog_19 real
@attribute hog_20 real
@attribute hog_21 real
@attribute hog_22 real
@attribute hog_23 real
@attribute hog_24 real
@attribute hog_25 real
@attribute hog_26 real
@attribute hog_27 real
@attribute hog_28 real
@attribute hog_29 real
@attribute hog_30 real
@attribute hog_31 real
@attribute hog_32 real
@attribute hog_33 real
@attribute hog_34 real
@attribute hog_35 real
@attribute class {accident,bomb,car}
@data
0.243009,0.206742,0.243009,0.0740428,0.181486,0.058131,0.117111,0.088158,0.243009,0.243009,0.17303,0.223912,0.0683943,0.216901,0.0413333,0.0935377,0.0775464,0.243009,0.243009,0.0920844,0.115858,0.0318725,0.117337,0.0685366,0.243009,0.173484,0.243009,0.243009,0.106711,0.146718,0.051274,0.171945,0.0308146,0.096484,0.0767613,0.243009,accident
0.267827,0.189999,0.265997,0.103591,0.165106,0.0471868,0.0955409,0.0651226,0.267827,0.267827,0.112192,0.163355,0.0666641,0.253859,0.060856,0.121779,0.0831556,0.267827,0.267827,0.114743,0.155269,0.060723,0.13953,0.0717219,0.160233,0.11073,0.267827,0.244997,0.0680179,0.0983093,0.0437486,0.155949,0.032701,0.0756469,0.0537937,0.243189,accident
0.246698,0.200826,0.246698,0.0979179,0.131947,0.0517866,0.0832852,0.0458579,0.246698,0.246698,0.179013,0.246691,0.0985931,0.177506,0.0304682,0.0521003,0.0354993,0.246698,0.246698,0.119411,0.177326,0.067133,0.158105,0.0968353,0.218525,0.12912,0.246698,0.246698,0.118217,0.173058,0.0713949,0.152331,0.0354516,0.0771016,0.057234,0.246698,accident
0.243997,0.243997,0.243997,0.123198,0.199622,0.0628815,0.117146,0.0491338,0.243997,0.243997,0.231465,0.243997,0.0862231,0.165607,0.0259698,0.0478009,0.0284516,0.243997,0.243997,0.125365,0.220499,0.0636762,0.153095,0.0876411,0.243997,0.134038,0.241521,0.184065,0.111676,0.161125,0.044681,0.102136,0.0226051,0.0854358,0.0533371,0.152395,accident
0.25651,0.25651,0.25651,0.0938852,0.132088,0.0302041,0.0797807,0.0494888,0.25651,0.25651,0.160607,0.248547,0.0651858,0.197461,0.0353339,0.0654091,0.0379003,0.220505,0.25651,0.160062,0.235113,0.0564625,0.113761,0.0681907,0.25651,0.133544,0.25651,0.199903,0.0897492,0.147716,0.0410062,0.148564,0.0226671,0.0597504,0.0425017,0.172292,accident
0.270726,0.178905,0.182029,0.158457,0.191028,0.0807795,0.0822528,0.0815682,0.270726,0.270726,0.0904492,0.0861754,0.0839731,0.270726,0.0851975,0.083969,0.0889521,0.270726,0.242324,0.0279252,0.0286536,0.0255517,0.18667,0.130367,0.134398,0.14133,0.270726,0.241896,0.0819536,0.0712714,0.0826646,0.270726,0.0420912,0.0432655,0.0447344,0.242978,accident
0.26389,0.0916998,0.0940497,0.04803,0.144442,0.0697866,0.120987,0.126229,0.26389,0.26389,0.0852452,0.0764033,0.0569717,0.26389,0.0682199,0.0995093,0.1066,0.26389,0.163807,0.0154323,0.0139914,0.00967132,0.26389,0.173934,0.222622,0.257959,0.26389,0.216531,0.144908,0.119764,0.111605,0.26389,0.045414,0.067327,0.0755339,0.20353,accident
0.252512,0.0528301,0.0615613,0.0810945,0.185818,0.155994,0.117122,0.104999,0.252512,0.252512,0.0508328,0.0575298,0.0784351,0.252512,0.119807,0.0909567,0.0772543,0.252512,0.252434,0.0091489,0.0112891,0.0144824,0.151487,0.252512,0.211895,0.185396,0.252512,0.227724,0.095328,0.109131,0.149238,0.252512,0.11057,0.0852024,0.0723635,0.252512,accident
0.245686,0.145027,0.161496,0.245686,0.217511,0.0810798,0.0566858,0.0416769,0.245686,0.245686,0.100117,0.139186,0.197775,0.245686,0.0567448,0.0410893,0.0265025,0.225588,0.22117,0.0532169,0.0666129,0.0980779,0.213532,0.228812,0.162,0.119764,0.245686,0.157488,0.0974677,0.168174,0.216023,0.245686,0.0632643,0.0452764,0.0325762,0.152793,accident
0.25458,0.174254,0.181974,0.234541,0.128532,0.0310116,0.0290948,0.0238659,0.25458,0.25458,0.106452,0.109733,0.144557,0.25458,0.0753998,0.0648328,0.0538226,0.25458,0.25458,0.0827144,0.0882471,0.113291,0.152536,0.169899,0.146257,0.123685,0.25458,0.25458,0.0619736,0.0675179,0.0900982,0.25458,0.0997578,0.0842872,0.0710459,0.25458,accident
