@relation image_classification
@attribute density numeric
@attribute x_center numeric
@attribute y_center numeric
@attribute class {accident,bomb,car,casualty,electricity,fire,firebrigade,flood,gas,injury,paramedics,person,police,roadblock}
@data
0.924537,122,120,accident
0.919812,121,120,accident
0.912349,121,120,accident
0.902308,122,120,accident
0.907846,121,121,accident
0.975091,122,120,accident
0.970553,121,120,accident
0.975853,121,120,accident
0.973113,122,119,accident
0.968184,121,120,accident
0.918551,122,120,accident
0.929097,121,120,accident
0.926349,121,120,accident
0.932267,121,120,accident
0.906149,121,119,accident
0.942958,122,121,accident
0.940897,121,120,accident
0.935917,121,120,accident
0.943708,122,120,accident
0.937441,120,121,accident
0.980879,122,120,accident
0.972678,121,121,accident
0.976776,121,120,accident
0.977207,122,120,accident
0.978865,121,120,accident
0.93241,122,120,accident
0.941363,121,120,accident
0.932394,121,120,accident
0.939854,122,121,accident
0.937366,121,120,accident
0.948337,122,121,accident
0.949291,121,121,accident
0.955556,121,121,accident
0.955786,122,120,accident
0.951756,121,121,accident
0.965145,122,120,accident
0.967962,121,120,accident
0.965905,121,120,accident
0.971393,122,119,accident
0.967962,121,120,accident
0.956034,122,121,accident
0.966117,120,121,accident
0.970572,121,121,accident
0.96519,122,121,accident
0.967803,121,121,accident
0.960914,122,120,accident
0.964673,121,120,accident
0.964504,121,120,accident
0.963416,122,120,accident
0.956392,121,120,accident
0.962277,122,120,accident
0.960399,121,120,accident
0.962912,121,121,accident
0.956456,122,120,accident
0.961439,121,120,accident
0.963499,122,120,accident
0.973158,120,120,accident
0.972537,121,120,accident
0.966183,121,120,accident
0.970685,120,120,accident
0.971295,122,121,accident
0.975981,121,121,accident
0.976888,121,121,accident
0.976826,122,121,accident
0.970873,120,121,accident
0.990194,122,122,accident
0.991469,122,121,accident
0.988023,121,122,accident
0.987437,121,121,accident
0.983606,120,122,accident
0.945389,122,121,accident
0.951156,121,121,accident
0.946469,121,121,accident
0.944738,121,120,accident
0.927407,128,121,accident
0.976176,122,121,accident
0.974786,120,121,accident
0.970671,120,121,accident
0.96775,121,120,accident
0.967618,121,120,accident
0.973301,122,120,accident
0.968094,120,120,accident
0.968077,121,120,accident
0.968157,122,120,accident
0.969449,120,120,accident
0.985823,121,122,accident
0.983539,120,121,accident
0.984833,121,121,accident
0.984973,122,121,accident
0.980491,120,121,accident
0.972867,118,117,accident
0.967935,121,121,accident
0.965601,121,121,accident
0.970912,122,121,accident
0.967835,121,121,accident
0.970425,121,121,accident
0.973723,120,121,accident
0.97414,121,120,accident
0.970046,121,120,accident
0.968643,121,120,accident
0.938202,122,122,accident
0.937664,120,121,accident
0.91848,125,121,accident
0.936082,121,121,accident
0.937432,120,121,accident
0.968596,122,121,accident
0.966457,121,121,accident
0.965147,121,121,accident
0.962964,122,121,accident
0.965796,121,121,accident
0.964903,122,121,accident
0.959017,121,120,accident
0.953366,121,120,accident
0.959467,122,120,accident
0.963031,121,121,accident
0.941846,122,120,accident
0.942201,121,121,accident
0.945996,120,121,accident
0.947304,122,121,accident
0.953276,121,120,accident
0.961765,122,121,accident
0.963837,121,121,accident
0.960626,121,120,accident
0.961015,122,120,accident
0.955508,121,120,accident
0.969088,123,121,accident
0.959151,121,121,accident
0.969979,120,121,accident
0.964264,122,121,accident
0.960907,121,121,accident
0.9518,122,121,accident
0.952509,121,122,accident
0.958213,121,122,accident
0.966567,122,121,accident
0.966795,121,122,accident
0.968575,122,121,accident
0.965791,122,121,accident
0.968836,121,121,accident
0.963481,122,121,accident
0.953044,121,121,accident
0.957291,123,121,accident
0.966189,121,121,accident
0.961217,121,121,accident
0.961549,122,121,accident
0.963014,121,121,accident
0.968079,122,121,accident
0.963686,121,121,accident
0.95942,121,121,accident
0.963016,122,121,accident
0.962299,122,121,accident
0.952081,123,121,accident
0.943832,121,121,accident
0.955136,121,121,accident
0.953702,122,121,accident
0.958193,121,121,accident
0.980595,122,120,accident
0.980233,121,121,accident
0.976569,121,121,accident
0.980308,122,121,accident
0.977121,121,121,accident
0.980474,122,121,accident
0.981616,121,121,accident
0.979812,121,121,accident
0.977542,122,121,accident
0.972874,121,121,accident
0.956451,122,121,accident
0.955909,121,121,accident
0.95947,121,121,accident
0.959886,122,121,accident
0.968158,121,121,accident
0.981632,123,121,accident
0.982011,121,121,accident
0.98446,122,121,accident
0.982068,122,121,accident
0.985135,121,121,accident
0.971861,122,121,accident
0.976585,122,120,accident
0.977459,121,121,accident
0.97638,122,121,accident
0.979323,121,120,accident
0.969272,122,121,accident
0.975863,121,121,accident
0.975275,121,121,accident
0.969795,122,121,accident
0.971597,121,121,accident
0.965364,122,121,accident
0.960679,121,121,accident
0.965046,121,121,accident
0.967513,122,121,accident
0.964576,121,121,accident
0.942376,122,121,accident
0.937567,121,121,accident
0.936935,122,121,accident
0.939107,122,121,accident
0.948786,121,121,accident
0.96907,122,121,accident
0.967851,121,121,accident
0.967581,121,121,accident
0.96678,122,121,accident
0.964643,121,121,accident
0.981582,122,120,accident
0.972745,121,120,accident
0.975512,121,120,accident
0.977585,122,120,accident
0.979696,121,120,accident
0.927051,122,120,accident
0.922786,121,120,accident
0.924317,121,120,accident
0.931064,122,121,accident
0.932622,121,121,accident
0.956617,122,121,accident
0.951108,121,120,accident
0.944758,121,120,accident
0.963652,122,120,accident
0.952158,120,121,accident
0.963282,122,120,accident
0.965791,121,120,accident
0.964419,120,121,accident
0.967735,122,120,accident
0.958321,120,120,accident
0.961031,122,120,accident
0.962167,120,121,accident
0.970956,121,121,accident
0.967582,121,121,accident
0.969541,120,121,accident
0.960604,122,120,accident
0.965791,121,120,accident
0.966296,120,120,accident
0.969135,122,120,accident
0.967248,121,120,accident
0.982904,122,121,accident
0.983219,121,121,accident
0.984132,121,121,accident
0.982519,122,121,accident
0.979119,121,121,accident
0.977969,122,121,accident
0.980254,121,120,accident
0.976596,120,120,accident
0.974515,122,120,accident
0.97587,120,120,accident
0.952136,122,121,accident
0.950566,121,120,accident
0.956082,121,121,accident
0.953792,122,120,accident
0.960643,120,120,accident
0.976476,122,121,accident
0.97504,121,121,accident
0.973696,121,121,accident
0.974427,122,121,accident
0.973152,121,121,accident
0.950786,122,121,accident
0.94596,121,120,accident
0.949015,120,121,accident
0.949435,121,120,accident
0.952369,120,120,accident
0.971966,122,120,accident
0.975191,121,121,accident
0.97121,120,121,accident
0.9731,122,121,accident
0.975224,120,120,accident
0.987772,122,121,accident
0.986143,121,121,accident
0.972823,121,121,accident
0.983507,122,121,accident
0.985243,120,121,accident
0.955855,122,121,accident
0.960643,121,120,accident
0.969649,121,121,accident
0.969237,121,120,accident
0.967787,120,121,accident
0.956251,122,121,accident
0.97285,121,121,accident
0.97247,121,121,accident
0.97269,122,121,accident
0.971614,121,121,accident
0.957958,122,120,accident
0.957414,121,120,accident
0.954665,121,120,accident
0.961569,121,120,accident
0.963691,120,120,accident
0.922898,122,120,accident
0.925251,122,120,accident
0.926381,121,120,accident
0.921827,122,120,accident
0.930424,120,121,accident
0.974172,122,121,accident
0.971261,120,121,accident
0.973841,121,121,accident
0.974894,121,121,accident
0.974637,120,121,accident
0.950601,122,120,accident
0.95414,120,120,accident
0.949279,121,120,accident
0.94924,122,120,accident
0.947539,121,120,accident
0.958915,121,120,accident
0.95134,121,121,accident
0.954411,120,120,accident
0.947913,121,120,accident
0.961236,120,120,accident
0.956524,121,121,accident
0.957701,120,121,accident
0.955808,121,121,accident
0.957167,122,121,accident
0.956799,120,121,accident
0.954749,122,120,accident
0.953265,121,120,accident
0.952904,120,120,accident
