@relation image_classification
@attribute huMoments_1 real
@attribute huMoments_2 real
@attribute huMoments_3 real
@attribute huMoments_4 real
@attribute huMoments_5 real
@attribute huMoments_6 real
@attribute huMoments_7 real
@attribute class {accident,bomb,car,casualty,injury}
@data
0.184279,5.69037e-06,4.05636e-06,2.98239e-07,-2.62767e-13,3.56777e-11,1.96362e-13,accident
0.196701,1.85406e-05,5.71081e-06,5.0848e-06,2.07242e-11,3.92818e-09,-1.79248e-11,accident
0.18851,1.37227e-05,7.8423e-06,4.56556e-08,2.38963e-14,-1.54659e-10,-1.32396e-14,accident
0.190653,9.11124e-06,9.62747e-06,4.40494e-06,1.9773e-11,1.0961e-08,2.07822e-11,accident
0.190012,8.38105e-06,3.77454e-06,1.32305e-06,2.15916e-12,1.94867e-09,-2.01984e-12,accident
0.193754,1.42106e-05,1.14262e-05,5.71727e-07,-1.44583e-12,-1.92347e-09,-2.11916e-13,accident
0.189102,6.4311e-06,8.60147e-06,1.0393e-06,-2.49638e-12,-2.59464e-09,-1.85042e-12,accident
0.195929,3.08661e-06,5.8198e-06,6.68909e-07,7.45368e-13,-8.84147e-10,1.08916e-12,accident
0.19606,6.41485e-05,2.53796e-05,1.52939e-07,-8.79661e-14,-7.35297e-10,2.88189e-13,accident
0.19415,1.14161e-05,1.95065e-05,1.22144e-06,4.0882e-12,3.45756e-10,-4.33967e-12,accident
0.176729,5.08175e-06,5.09362e-06,1.32601e-07,1.04851e-13,9.46933e-11,2.96997e-14,accident
0.178345,1.43796e-06,2.8379e-06,1.61296e-07,-1.0867e-13,1.90803e-10,-9.97257e-15,accident
0.17809,5.15393e-06,4.47513e-06,3.8334e-07,8.78407e-14,4.66092e-10,4.94344e-13,accident
0.179649,5.81783e-06,7.13512e-06,3.42702e-07,-5.13265e-13,-7.83117e-10,-1.54071e-13,accident
0.179067,5.95922e-06,6.95493e-06,4.57896e-07,5.51156e-13,-2.78966e-10,-6.03277e-13,accident
0.177366,1.26804e-06,5.90331e-06,1.35986e-07,-1.21011e-13,-1.52393e-10,1.41894e-14,accident
0.181876,9.6675e-07,1.31809e-05,4.93808e-09,-1.45555e-16,4.02109e-13,1.25139e-15,accident
0.177826,2.55366e-06,6.75167e-06,5.09689e-08,1.12717e-15,-1.71707e-11,-2.98782e-14,accident
0.180012,5.11572e-06,5.9915e-06,5.8016e-07,-7.41044e-13,-4.75634e-10,7.8793e-13,accident
0.181078,8.96247e-07,1.33803e-05,4.08315e-07,3.72611e-14,-3.85623e-10,-9.53662e-13,accident
0.202008,3.60114e-05,3.64328e-05,2.42795e-06,1.91881e-11,-2.49252e-09,-1.238e-11,accident
0.200171,0.000100429,9.78512e-05,7.60161e-06,2.09207e-11,-1.57549e-08,2.06262e-10,accident
0.191925,4.37219e-05,6.36396e-06,7.93893e-07,-3.38347e-13,5.13257e-09,1.75209e-12,accident
0.191269,1.05117e-05,2.64711e-05,3.76277e-07,8.06538e-13,-1.20507e-09,8.71632e-13,accident
0.192026,0.00014729,1.7983e-05,7.93942e-07,2.61799e-12,3.27853e-09,-1.46487e-12,accident
0.176643,5.10964e-07,3.14769e-06,1.3681e-07,3.79673e-15,7.13694e-11,-8.96986e-14,accident
0.1789,2.15403e-06,4.76897e-06,1.25197e-08,-9.32472e-16,1.8325e-11,-2.91359e-15,accident
