@relation image_classification
@attribute huMoments_0_0_1 real
@attribute huMoments_0_0_2 real
@attribute huMoments_0_0_3 real
@attribute huMoments_0_0_4 real
@attribute huMoments_0_0_5 real
@attribute huMoments_0_0_6 real
@attribute huMoments_0_0_7 real
@attribute huMoments_0_1_1 real
@attribute huMoments_0_1_2 real
@attribute huMoments_0_1_3 real
@attribute huMoments_0_1_4 real
@attribute huMoments_0_1_5 real
@attribute huMoments_0_1_6 real
@attribute huMoments_0_1_7 real
@attribute huMoments_0_2_1 real
@attribute huMoments_0_2_2 real
@attribute huMoments_0_2_3 real
@attribute huMoments_0_2_4 real
@attribute huMoments_0_2_5 real
@attribute huMoments_0_2_6 real
@attribute huMoments_0_2_7 real
@attribute huMoments_1_0_1 real
@attribute huMoments_1_0_2 real
@attribute huMoments_1_0_3 real
@attribute huMoments_1_0_4 real
@attribute huMoments_1_0_5 real
@attribute huMoments_1_0_6 real
@attribute huMoments_1_0_7 real
@attribute huMoments_1_1_1 real
@attribute huMoments_1_1_2 real
@attribute huMoments_1_1_3 real
@attribute huMoments_1_1_4 real
@attribute huMoments_1_1_5 real
@attribute huMoments_1_1_6 real
@attribute huMoments_1_1_7 real
@attribute huMoments_1_2_1 real
@attribute huMoments_1_2_2 real
@attribute huMoments_1_2_3 real
@attribute huMoments_1_2_4 real
@attribute huMoments_1_2_5 real
@attribute huMoments_1_2_6 real
@attribute huMoments_1_2_7 real
@attribute huMoments_2_0_1 real
@attribute huMoments_2_0_2 real
@attribute huMoments_2_0_3 real
@attribute huMoments_2_0_4 real
@attribute huMoments_2_0_5 real
@attribute huMoments_2_0_6 real
@attribute huMoments_2_0_7 real
@attribute huMoments_2_1_1 real
@attribute huMoments_2_1_2 real
@attribute huMoments_2_1_3 real
@attribute huMoments_2_1_4 real
@attribute huMoments_2_1_5 real
@attribute huMoments_2_1_6 real
@attribute huMoments_2_1_7 real
@attribute huMoments_2_2_1 real
@attribute huMoments_2_2_2 real
@attribute huMoments_2_2_3 real
@attribute huMoments_2_2_4 real
@attribute huMoments_2_2_5 real
@attribute huMoments_2_2_6 real
@attribute huMoments_2_2_7 real
@attribute class {accident,bomb,car,casualty,injury}
@data
0.171852,7.18545e-06,1.42582e-06,2.66885e-06,1.7553e-12,-4.668e-09,4.90135e-12,0.182937,3.44706e-05,4.54409e-05,6.57634e-07,-3.36696e-12,2.66843e-09,-1.26002e-12,0.169966,2.55204e-05,2.98374e-06,2.19859e-06,-5.61127e-12,-1.10968e-08,4.72641e-13,0.172249,2.52538e-05,7.51424e-06,1.83575e-06,2.21987e-12,-3.44969e-09,6.44657e-12,0.216772,1.33484e-05,0.000163589,0.000208661,3.81443e-08,3.17439e-07,5.58721e-09,0.179164,4.16347e-05,1.19751e-05,4.29742e-06,2.4823e-11,2.75883e-08,1.82814e-11,0.174306,9.02272e-05,1.61662e-05,1.05437e-05,1.3438e-10,9.95159e-08,2.98461e-11,0.194935,4.38126e-05,4.43387e-05,3.5897e-05,-1.0988e-09,-2.21653e-09,9.18478e-10,0.178492,0.000142263,9.51063e-06,8.4339e-06,3.38985e-11,9.92817e-08,-6.75012e-11,accident
0.184042,0.000206007,1.42818e-05,1.867e-06,1.37743e-12,-6.3183e-09,-9.54174e-12,0.223626,0.000306666,0.000266616,3.7183e-05,1.28852e-10,-3.19217e-07,3.69995e-09,0.180712,4.53371e-06,8.60029e-06,9.03394e-06,7.96233e-11,1.91032e-08,-9.74764e-13,0.174695,2.60666e-05,1.37741e-05,1.04547e-05,1.24795e-10,-2.90784e-08,-1.28862e-11,0.244047,0.000201317,0.00037969,0.00055456,2.54302e-07,-2.42383e-06,-9.24918e-09,0.179381,1.67888e-05,2.70133e-05,1.56765e-05,3.07721e-10,4.00133e-08,9.68392e-11,0.187572,0.000223818,3.56963e-06,1.76547e-05,-7.15644e-11,2.52633e-07,1.20505e-10,0.196421,4.22461e-05,7.06462e-05,0.000122938,-1.07956e-08,-7.32375e-07,-3.83665e-09,0.179892,0.00023102,3.0642e-05,2.29477e-05,6.08389e-10,3.47647e-07,1.21927e-11,accident
0.167427,4.69648e-05,1.24589e-05,1.37089e-07,-1.34152e-13,-8.42639e-10,-1.18753e-13,0.184556,7.74706e-06,1.12782e-05,3.79307e-06,2.20136e-11,-5.11841e-09,-1.14405e-11,0.171172,3.83009e-05,3.1624e-06,3.99153e-06,-1.41468e-11,-2.46897e-08,9.88754e-13,0.182986,4.3207e-05,8.82841e-06,5.55327e-06,3.78121e-11,3.57641e-08,-9.06449e-12,0.239616,0.000319202,9.82065e-06,1.2055e-06,3.79465e-12,7.46496e-09,-1.6749e-12,0.184792,6.47197e-05,5.6988e-06,3.10816e-06,1.17508e-11,2.49811e-08,5.74765e-12,0.179771,2.42693e-05,1.11241e-05,1.60971e-05,-1.20075e-10,7.90538e-08,1.78833e-10,0.206465,0.000233035,4.48876e-05,5.91093e-05,2.48219e-09,7.81934e-07,1.76325e-09,0.178546,9.0043e-05,7.79171e-06,1.76542e-05,7.13315e-11,1.26724e-07,1.94381e-10,accident
0.178052,3.33638e-06,7.1476e-06,7.27066e-06,5.00651e-11,1.31409e-08,-1.55122e-11,0.192971,2.82923e-05,6.37435e-05,9.59063e-06,-3.31867e-11,-4.9999e-08,-2.34797e-10,0.167393,2.85847e-05,7.47972e-06,1.40004e-07,-1.40233e-13,-7.42389e-10,2.9337e-14,0.181293,4.81504e-06,2.67303e-05,1.1423e-05,1.93899e-10,2.40668e-08,4.73817e-11,0.20698,0.000699076,0.000301527,0.000133543,2.54892e-08,-5.61168e-07,-8.2712e-09,0.183256,9.1458e-05,4.2086e-07,1.65882e-07,1.54521e-14,-1.58407e-09,-4.10157e-14,0.187461,0.000328839,1.7571e-05,2.59676e-05,2.13167e-10,3.8688e-07,5.12087e-10,0.170995,5.22631e-05,1.39256e-05,1.6185e-06,-4.53593e-12,8.23979e-09,6.2021e-12,0.176862,9.42397e-05,1.17164e-05,1.57566e-05,2.11872e-10,1.52953e-07,3.07118e-11,accident
0.175218,3.08662e-06,1.39285e-06,7.52226e-06,2.43389e-11,-1.30998e-08,-6.8856e-13,0.202199,0.000196551,6.23463e-05,3.51761e-05,-5.33173e-10,-4.28814e-07,-1.55865e-09,0.173269,1.66e-05,9.45548e-08,6.46832e-06,-5.05841e-12,-2.63533e-08,4.19803e-14,0.182667,3.52692e-05,7.26801e-06,5.01035e-06,2.99198e-11,2.90063e-08,-4.35475e-12,0.224442,0.000310466,5.19912e-05,0.000271554,-3.63317e-09,-3.49639e-06,-3.20611e-08,0.180936,1.49037e-05,1.55938e-05,1.14573e-05,1.51513e-10,4.04315e-08,2.22895e-11,0.178941,0.000130216,1.24441e-05,1.75274e-05,1.36464e-10,1.78841e-07,-2.19963e-10,0.203026,0.000102152,1.46105e-05,0.000154141,-6.99641e-09,-1.14725e-06,-2.13511e-09,0.175972,0.000133941,2.70284e-05,1.57692e-05,2.95395e-10,1.78858e-07,1.36854e-10,accident
0.17977,8.00933e-05,1.24692e-06,2.7834e-05,-1.50372e-10,-2.48796e-07,6.53969e-11,0.196044,6.4599e-05,4.51182e-05,6.07124e-05,2.52941e-09,4.28403e-07,1.92326e-09,0.19537,2.62993e-05,3.98392e-05,4.11521e-05,1.6579e-09,2.06313e-07,1.66745e-10,0.203028,0.000226759,4.76739e-05,2.69082e-05,9.63753e-10,3.56016e-07,2.61321e-12,0.197901,7.17343e-05,6.57566e-05,6.49114e-05,3.75253e-09,2.60873e-07,-1.97565e-09,0.183565,9.40571e-05,9.30685e-05,5.01227e-05,3.40454e-09,-8.01724e-08,3.58465e-10,0.209792,0.00105411,8.81597e-06,8.1005e-05,2.11724e-09,2.54065e-06,-4.5094e-10,0.220903,8.23182e-07,8.65495e-05,6.15128e-05,1.46183e-09,-4.34027e-08,-4.24356e-09,0.205658,0.000673782,5.56345e-05,2.60785e-07,6.43021e-13,-6.7692e-09,-7.57125e-13,accident
0.187794,2.70398e-05,7.61623e-06,8.79509e-06,-3.30341e-11,-1.87349e-08,-6.39556e-11,0.197413,9.93841e-05,0.000148011,8.19628e-06,2.69897e-10,8.17065e-08,-9.30214e-11,0.168958,0.000121794,2.91375e-05,1.18272e-06,-6.4718e-12,-1.27241e-08,-2.51425e-12,0.186613,4.62431e-05,4.88821e-05,2.8422e-05,1.05917e-09,1.41511e-07,-2.15278e-11,0.183243,3.37561e-05,5.2288e-05,3.51842e-05,1.50909e-09,-7.62038e-09,9.2706e-12,0.186249,9.89197e-05,7.6754e-05,4.16706e-05,2.05072e-09,3.99146e-07,1.1612e-09,0.202374,0.0005886,1.02673e-05,5.61268e-05,1.34393e-09,1.3504e-06,-9.60432e-11,0.211098,4.3896e-05,4.15925e-05,4.8241e-05,-1.19979e-09,-3.17857e-07,-1.7972e-09,0.195703,0.000135205,5.43226e-05,2.39086e-05,8.01715e-10,2.777e-07,3.15698e-10,accident
0.205658,5.58053e-05,2.04005e-05,5.84622e-05,1.57486e-09,5.05106e-08,-1.26338e-09,0.194475,0.000661649,0.00013938,1.55357e-05,1.40495e-10,-3.24345e-07,-7.09148e-10,0.17597,0.000212426,2.81202e-05,1.76162e-05,-3.91466e-10,-2.56629e-07,2.19703e-11,0.211939,0.000252339,8.16164e-05,6.6582e-05,4.64504e-09,1.05705e-06,-1.58562e-09,0.203328,0.000186166,2.46282e-05,1.0701e-05,-9.21654e-11,-9.68268e-08,-1.47256e-10,0.19812,0.000260237,0.000162607,8.00904e-05,8.41704e-09,1.21497e-06,3.56238e-09,0.214408,0.000737385,5.89231e-05,1.48816e-05,3.60111e-10,-1.93411e-07,-2.53997e-10,0.196354,7.66776e-05,5.18881e-05,2.80609e-05,3.8487e-11,-2.3948e-07,1.07005e-09,0.208183,0.000925901,1.43963e-05,3.99777e-06,-1.17267e-11,1.19623e-07,-2.79698e-11,accident
0.165431,9.20323e-05,3.68437e-05,7.84662e-07,4.21624e-12,-7.52496e-09,-1.51665e-13,0.212321,0.00041742,7.13662e-05,6.73483e-08,1.16775e-13,-1.01212e-09,9.03578e-14,0.170668,6.31007e-05,6.96752e-05,2.88076e-06,-3.35847e-11,-2.1631e-08,2.319e-11,0.212929,0.00099211,3.14668e-05,6.4634e-06,4.31651e-11,1.84839e-07,-8.14444e-11,0.19877,4.39109e-05,2.0293e-05,3.55633e-05,8.7614e-10,1.68385e-07,-3.80962e-10,0.201682,0.000407553,0.000177903,9.13841e-05,1.10845e-08,1.71558e-06,3.59176e-09,0.215905,0.000849623,7.28419e-05,0.000113066,5.69854e-09,2.02992e-06,-8.53308e-09,0.204074,4.8579e-05,6.58119e-05,5.32784e-06,9.86019e-11,3.34398e-08,-1.51913e-11,0.188093,1.29675e-05,3.46804e-05,3.74844e-05,1.33725e-09,8.75339e-08,1.95782e-10,accident
0.165743,2.24857e-05,9.40706e-06,3.75341e-07,7.04803e-13,-1.77913e-09,-2.61186e-14,0.201896,0.000453243,5.87048e-05,3.95877e-05,1.86692e-09,8.34934e-07,-3.95883e-10,0.18672,5.13478e-05,2.51042e-06,5.68195e-05,6.77652e-10,-4.02964e-07,-3.60072e-11,0.20047,0.000413515,0.000179713,4.66042e-05,2.86301e-09,9.475e-07,-3.16134e-09,0.199611,0.000192624,6.04624e-05,2.5703e-05,9.22118e-10,2.44252e-07,4.19976e-10,0.199195,0.000186935,0.000155764,8.19775e-05,9.20409e-09,9.40331e-07,1.04762e-09,0.20873,0.000539878,5.17542e-05,0.000104235,-5.41149e-09,1.75579e-06,-5.41555e-09,0.196256,7.14772e-05,6.09074e-05,5.87491e-05,3.65143e-10,-1.12633e-07,3.49526e-09,0.204831,0.00103579,3.68424e-05,4.48569e-05,7.81008e-10,1.4121e-06,-1.64784e-09,accident
