@relation image_classification
@attribute huMoments_0_0_1 real
@attribute huMoments_0_0_2 real
@attribute huMoments_0_0_3 real
@attribute huMoments_0_0_4 real
@attribute huMoments_0_0_5 real
@attribute huMoments_0_0_6 real
@attribute huMoments_0_0_7 real
@attribute huMoments_0_1_1 real
@attribute huMoments_0_1_2 real
@attribute huMoments_0_1_3 real
@attribute huMoments_0_1_4 real
@attribute huMoments_0_1_5 real
@attribute huMoments_0_1_6 real
@attribute huMoments_0_1_7 real
@attribute huMoments_0_2_1 real
@attribute huMoments_0_2_2 real
@attribute huMoments_0_2_3 real
@attribute huMoments_0_2_4 real
@attribute huMoments_0_2_5 real
@attribute huMoments_0_2_6 real
@attribute huMoments_0_2_7 real
@attribute huMoments_0_3_1 real
@attribute huMoments_0_3_2 real
@attribute huMoments_0_3_3 real
@attribute huMoments_0_3_4 real
@attribute huMoments_0_3_5 real
@attribute huMoments_0_3_6 real
@attribute huMoments_0_3_7 real
@attribute huMoments_1_0_1 real
@attribute huMoments_1_0_2 real
@attribute huMoments_1_0_3 real
@attribute huMoments_1_0_4 real
@attribute huMoments_1_0_5 real
@attribute huMoments_1_0_6 real
@attribute huMoments_1_0_7 real
@attribute huMoments_1_1_1 real
@attribute huMoments_1_1_2 real
@attribute huMoments_1_1_3 real
@attribute huMoments_1_1_4 real
@attribute huMoments_1_1_5 real
@attribute huMoments_1_1_6 real
@attribute huMoments_1_1_7 real
@attribute huMoments_1_2_1 real
@attribute huMoments_1_2_2 real
@attribute huMoments_1_2_3 real
@attribute huMoments_1_2_4 real
@attribute huMoments_1_2_5 real
@attribute huMoments_1_2_6 real
@attribute huMoments_1_2_7 real
@attribute huMoments_1_3_1 real
@attribute huMoments_1_3_2 real
@attribute huMoments_1_3_3 real
@attribute huMoments_1_3_4 real
@attribute huMoments_1_3_5 real
@attribute huMoments_1_3_6 real
@attribute huMoments_1_3_7 real
@attribute huMoments_2_0_1 real
@attribute huMoments_2_0_2 real
@attribute huMoments_2_0_3 real
@attribute huMoments_2_0_4 real
@attribute huMoments_2_0_5 real
@attribute huMoments_2_0_6 real
@attribute huMoments_2_0_7 real
@attribute huMoments_2_1_1 real
@attribute huMoments_2_1_2 real
@attribute huMoments_2_1_3 real
@attribute huMoments_2_1_4 real
@attribute huMoments_2_1_5 real
@attribute huMoments_2_1_6 real
@attribute huMoments_2_1_7 real
@attribute huMoments_2_2_1 real
@attribute huMoments_2_2_2 real
@attribute huMoments_2_2_3 real
@attribute huMoments_2_2_4 real
@attribute huMoments_2_2_5 real
@attribute huMoments_2_2_6 real
@attribute huMoments_2_2_7 real
@attribute huMoments_2_3_1 real
@attribute huMoments_2_3_2 real
@attribute huMoments_2_3_3 real
@attribute huMoments_2_3_4 real
@attribute huMoments_2_3_5 real
@attribute huMoments_2_3_6 real
@attribute huMoments_2_3_7 real
@attribute huMoments_3_0_1 real
@attribute huMoments_3_0_2 real
@attribute huMoments_3_0_3 real
@attribute huMoments_3_0_4 real
@attribute huMoments_3_0_5 real
@attribute huMoments_3_0_6 real
@attribute huMoments_3_0_7 real
@attribute huMoments_3_1_1 real
@attribute huMoments_3_1_2 real
@attribute huMoments_3_1_3 real
@attribute huMoments_3_1_4 real
@attribute huMoments_3_1_5 real
@attribute huMoments_3_1_6 real
@attribute huMoments_3_1_7 real
@attribute huMoments_3_2_1 real
@attribute huMoments_3_2_2 real
@attribute huMoments_3_2_3 real
@attribute huMoments_3_2_4 real
@attribute huMoments_3_2_5 real
@attribute huMoments_3_2_6 real
@attribute huMoments_3_2_7 real
@attribute huMoments_3_3_1 real
@attribute huMoments_3_3_2 real
@attribute huMoments_3_3_3 real
@attribute huMoments_3_3_4 real
@attribute huMoments_3_3_5 real
@attribute huMoments_3_3_6 real
@attribute huMoments_3_3_7 real
@attribute class {accident,bomb,car,casualty,injury}
@data
0.166094,1.48492e-05,5.71496e-06,1.23586e-07,1.03513e-13,-4.7539e-10,-8.52327e-15,0.180668,6.76289e-05,2.36442e-06,8.03966e-06,2.15461e-11,5.5246e-08,-2.76486e-11,0.182694,4.6941e-05,1.77905e-05,8.16222e-06,9.75498e-11,5.46155e-08,-1.25783e-11,0.166626,0,0,0,0,0,0,0.169954,1.14148e-05,2.08327e-06,9.18939e-07,-1.14062e-12,-2.13247e-09,5.61772e-13,0.217558,0.000116351,0.000214616,8.31277e-05,8.85059e-09,-1.96455e-07,-6.70438e-09,0.168478,5.98951e-05,3.42328e-05,2.06046e-06,-1.21999e-11,-1.31414e-08,-1.22728e-11,0.181038,9.84529e-06,1.60381e-05,1.32429e-05,1.92224e-10,3.47497e-08,1.72712e-11,0.175747,3.68164e-05,2.12307e-05,1.11023e-05,1.70412e-10,2.95859e-09,-3.62265e-12,0.21897,0.000598829,0.000112758,0.000172606,-5.53915e-09,-3.27953e-06,2.34342e-08,0.166626,0,0,0,0,0,0,0.178185,3.76293e-05,3.7539e-05,1.46887e-05,3.17631e-10,5.63567e-08,1.34458e-10,0.180694,0.000253226,2.52542e-05,2.05347e-05,4.67146e-10,3.26539e-07,-2.11914e-11,0.211561,5.31253e-05,8.76646e-07,0.0001103,-2.39358e-10,5.3993e-07,-1.05787e-09,0.177695,6.71073e-08,8.3299e-06,1.27396e-05,1.31025e-10,1.67739e-09,-7.44251e-12,0.184853,0.00021909,1.43465e-05,1.39344e-06,-6.12859e-12,1.30521e-08,1.1209e-12,accident
0.186997,2.98761e-05,2.0441e-05,1.37695e-05,1.98532e-10,7.36547e-08,-1.18109e-10,0.209715,0.000639019,2.64366e-05,4.88663e-05,1.61314e-09,7.06919e-07,6.94704e-10,0.20007,6.38062e-05,3.0603e-05,9.068e-06,-1.00757e-10,5.07993e-10,-1.12549e-10,0.170014,7.59713e-05,1.40763e-05,2.51529e-06,-1.4039e-11,-2.15109e-08,5.18739e-12,0.187125,3.45552e-05,3.98726e-05,2.72563e-05,8.97468e-10,1.42881e-07,-4.38735e-11,0.275247,8.31329e-05,0.000291719,0.000897971,4.59138e-07,7.65008e-06,2.04923e-08,0.169743,0.000188548,3.1225e-06,3.47599e-06,-1.13381e-11,-5.73284e-09,-1.60869e-12,0.193578,0.000166589,5.83061e-07,1.00977e-08,6.22642e-16,-5.23434e-11,4.61123e-16,0.174113,6.80748e-05,1.42211e-05,1.14904e-05,1.44904e-10,-7.75936e-08,-2.4029e-11,0.223791,0.00196448,0.000685084,0.000194819,-6.80134e-08,-8.60743e-06,-2.09723e-08,0.166967,3.99782e-05,9.59365e-06,1.04076e-07,-2.78146e-14,6.56471e-10,1.00207e-13,0.178756,4.01384e-05,4.46235e-05,2.30647e-05,7.25991e-10,-1.19976e-08,1.43064e-10,0.197747,0.000243139,2.12264e-05,1.27063e-06,-6.33041e-12,1.78436e-08,-1.86301e-12,0.271565,6.71105e-05,0.000196089,4.411e-05,-2.36333e-09,-1.44787e-07,3.35319e-09,0.173902,9.91569e-05,9.67827e-06,1.05304e-05,1.06308e-10,-1.04841e-07,-3.19394e-13,0.192205,0.000399615,6.79613e-06,1.94078e-05,1.58419e-10,3.87718e-07,-1.56793e-10,accident
0.166626,0,0,0,0,0,0,0.186106,0.000135778,1.23317e-05,1.48372e-06,-4.03274e-12,6.35904e-09,-4.9006e-12,0.192346,0.00024463,8.3584e-07,2.00368e-07,4.92251e-14,7.19917e-10,6.5579e-14,0.166626,0,0,0,0,0,0,0.167905,0.000104977,2.80132e-05,3.17261e-07,-4.72125e-13,-2.57223e-09,-8.19552e-13,0.191878,0.000519821,2.61638e-05,9.22696e-06,1.14529e-10,-4.64953e-09,8.62328e-11,0.192773,0.000615782,1.6517e-05,5.63239e-05,7.44184e-10,-8.00806e-07,1.54838e-09,0.183605,6.71023e-06,1.78215e-05,2.70493e-05,5.92206e-10,-1.16224e-08,-4.46835e-11,0.188983,0.000127369,1.69073e-05,6.70301e-06,6.53617e-11,7.46908e-08,-2.86324e-11,0.187526,0.000262577,0.000164215,7.20478e-05,7.81106e-09,-1.07587e-06,6.34538e-10,0.172231,0.000149012,1.51698e-05,5.22147e-06,-5.55956e-12,-5.24136e-08,-4.6137e-11,0.188787,7.14726e-05,2.5401e-05,1.6377e-05,3.29162e-10,1.33296e-07,5.67843e-11,0.186098,5.4593e-05,1.08695e-05,4.36028e-05,-8.43731e-10,2.94652e-07,-4.34945e-10,0.208517,0.000225635,1.19652e-05,0.000121837,1.63948e-09,2.55526e-07,4.35343e-09,0.173533,5.59195e-05,6.64193e-06,9.19392e-06,7.17013e-11,-6.41575e-08,-4.54522e-12,0.186845,0.000277623,1.49572e-05,2.93705e-05,5.65052e-10,4.58696e-07,-2.4427e-10,accident
0.168346,5.91507e-05,1.3258e-05,6.87156e-07,-1.89812e-12,-5.12641e-09,-8.35994e-13,0.185959,3.51124e-05,3.97645e-05,3.69338e-06,-3.0609e-11,5.84185e-09,-3.26571e-11,0.178323,4.38493e-06,2.40746e-06,1.24135e-05,6.67192e-11,-2.4794e-08,1.23982e-11,0.166626,0,0,0,0,0,0,0.189573,8.93654e-05,1.12682e-05,5.63663e-06,4.33822e-11,5.2795e-08,-1.16595e-11,0.243273,0.00015565,9.95088e-05,0.000109279,5.0694e-09,6.29989e-07,-1.0206e-08,0.176445,8.52373e-05,1.37178e-05,2.85712e-06,5.21661e-12,2.63778e-08,1.71093e-11,0.173335,8.22853e-05,6.93704e-06,8.75614e-06,-6.477e-11,-7.86576e-08,2.1492e-11,0.18489,3.24554e-05,4.24218e-05,2.77881e-05,9.48701e-10,1.03323e-07,-1.01152e-10,0.289833,0.00216053,0.000171174,1.30964e-05,5.27974e-10,-2.7426e-07,-3.25186e-10,0.166556,5.43759e-08,2.59933e-08,2.3723e-09,1.86288e-17,-5.53188e-13,-1.65063e-20,0.185471,0.000114201,2.51715e-05,1.04067e-05,1.44483e-10,1.10103e-07,8.65661e-11,0.186127,0.000334268,2.09112e-05,4.02165e-05,1.1405e-09,7.33865e-07,2.4378e-10,0.208234,1.96847e-05,7.08863e-05,0.000177038,-1.98282e-08,-7.10838e-07,-4.1782e-10,0.172819,6.03052e-05,9.1293e-06,7.26166e-06,5.9125e-11,-5.43962e-08,-1.26996e-13,0.185586,0.000249556,1.38068e-05,2.83339e-05,5.6024e-10,4.47404e-07,-1.3911e-11,accident
0.165936,2.42332e-05,9.46464e-06,2.1473e-07,3.05334e-13,-1.05562e-09,-2.19175e-14,0.184127,1.9544e-05,3.35194e-05,6.08112e-06,5.58654e-11,1.97089e-08,-6.64599e-11,0.187767,2.65571e-05,1.76988e-05,5.39807e-06,-4.3716e-11,2.71604e-08,-2.95439e-11,0.166589,1.4012e-08,6.79704e-09,6.63795e-10,1.40997e-18,-7.85748e-14,1.34334e-30,0.185957,5.87862e-05,3.38455e-05,1.53317e-05,3.23007e-10,1.13245e-07,-1.32824e-10,0.220783,0.000480156,4.56295e-05,0.000549675,7.3519e-08,-1.18827e-05,-4.66167e-08,0.178967,0.000638464,0.000254685,2.46423e-05,4.92264e-10,-4.09128e-07,-1.88911e-09,0.18904,0.000179164,4.56009e-05,3.34714e-06,2.21523e-12,3.85682e-08,4.12927e-11,0.185866,6.30828e-05,3.90232e-05,1.71567e-05,4.21647e-10,1.28346e-07,-1.38877e-10,0.181732,0.000267989,0.000147181,1.0495e-05,1.33372e-10,9.10054e-08,3.90316e-10,0.16594,1.37194e-05,5.67316e-06,2.10161e-07,2.29364e-13,-7.78213e-10,-7.22379e-15,0.182088,1.92725e-05,3.70939e-05,2.01935e-05,5.21931e-10,7.02289e-08,1.81762e-10,0.187062,0.000284573,8.08202e-06,2.10565e-05,2.35781e-10,3.55139e-07,1.4093e-10,0.233166,0.00164951,0.000316554,0.000203485,-4.70182e-08,-7.32914e-06,2.13637e-08,0.17304,8.14319e-05,7.23734e-06,7.78888e-06,5.82286e-11,-6.86077e-08,-5.40899e-12,0.184533,0.000387221,3.30364e-05,2.67586e-05,7.7354e-10,5.26551e-07,-1.86031e-10,accident
0.166167,3.6946e-06,1.62226e-06,9.62484e-08,3.80233e-14,-1.84976e-10,-8.15994e-16,0.223721,0.0017038,9.12198e-05,2.29936e-05,1.03925e-09,3.55079e-07,1.70024e-10,0.22024,0.000505716,2.89476e-05,2.96289e-05,8.57287e-10,6.38898e-07,1.34169e-10,0.174081,0.000298894,5.97125e-05,1.15145e-05,-3.01611e-10,-1.99043e-07,-1.37717e-11,0.199421,9.89974e-05,0.000193074,0.000106929,1.02049e-08,1.06363e-06,-1.14853e-08,0.212918,0.000355951,5.18339e-05,0.000136751,9.99652e-09,-3.79036e-08,-5.71192e-09,0.166626,0,0,0,0,0,0,0.215272,0.00053717,9.70661e-05,6.2622e-05,4.30551e-09,1.45109e-06,2.30204e-09,0.210521,0.000283091,0.000247972,0.000157891,3.09328e-08,2.41194e-06,-4.3847e-09,0.18474,0.000147445,2.30216e-05,4.2099e-05,-4.41594e-10,-4.30936e-07,1.23398e-09,0.166626,0,0,0,0,0,0,0.194145,9.22954e-05,9.10338e-05,0.000147264,1.66674e-08,-1.41162e-06,-3.59576e-09,0.230411,0.0010427,0.000137144,7.78318e-06,-2.32864e-11,3.53687e-08,2.53218e-10,0.232037,0.00084212,9.98682e-05,8.21516e-05,-7.13177e-09,2.01108e-06,2.12318e-09,0.226598,0.000294465,0.000132522,0.00011388,5.89774e-09,1.9352e-06,-1.26861e-08,0.202445,6.08655e-06,7.09425e-05,0.000111654,9.92845e-09,2.12558e-07,4.1864e-10,accident
0.18301,7.62436e-05,9.16214e-06,3.44311e-05,-1.48624e-10,-2.65998e-07,-5.93205e-10,0.186824,0.000138691,1.30726e-05,4.70909e-05,-5.44013e-10,-5.51218e-07,-1.03401e-09,0.188652,2.63098e-05,1.17946e-05,6.70792e-05,1.88678e-09,-3.42644e-07,3.55791e-12,0.166626,0,0,0,0,0,0,0.203062,0.000227417,8.42567e-07,2.8941e-07,-9.97136e-14,-3.58312e-09,1.02378e-13,0.2083,0.000224589,9.56514e-06,2.3091e-06,1.04814e-11,3.42201e-08,-2.81165e-12,0.170499,0.000215746,4.93221e-05,3.1451e-06,-3.63099e-11,-4.50047e-08,-1.46975e-11,0.202895,0.000272529,7.91929e-05,2.80116e-05,1.28379e-09,4.52874e-07,-3.04106e-10,0.191785,3.21418e-05,9.62685e-05,7.50592e-05,6.34035e-09,1.78712e-07,-7.13745e-10,0.191012,4.61237e-05,1.13029e-05,3.58138e-05,2.7792e-10,-9.2438e-08,6.64806e-10,0.166626,0,0,0,0,0,0,0.191589,1.9074e-05,7.84983e-05,9.10104e-05,7.53052e-09,2.24511e-07,-1.57021e-09,0.220416,0.000799912,6.84765e-05,4.94441e-07,-7.38612e-13,7.41753e-09,-2.78059e-12,0.229624,0.000194095,0.000312836,3.19504e-05,-1.72065e-09,-1.85318e-07,2.69124e-09,0.213811,0.000336822,0.000231616,2.49607e-05,1.89783e-09,4.58093e-07,-1.39336e-11,0.177437,0.000231816,2.70814e-05,2.30145e-05,-5.51282e-10,-3.47937e-07,1.61905e-10,accident
0.185757,0.000576918,6.76421e-05,6.74692e-05,-3.0986e-09,-1.49185e-06,-3.34265e-09,0.168899,5.63034e-05,1.18457e-05,1.34492e-06,4.25843e-12,-1.00884e-08,-3.26851e-12,0.221762,0.00164216,0.000138898,1.83258e-05,9.24093e-10,7.38705e-07,-2.99371e-11,0.166626,0,0,0,0,0,0,0.237619,0.000744047,0.000295764,0.000201125,4.8967e-08,5.31036e-06,-2.91581e-09,0.21154,0.000193156,0.000622115,0.000428867,1.39414e-07,3.68574e-06,1.72152e-07,0.16532,0.000206479,5.0309e-05,3.54562e-07,1.49539e-12,-5.09275e-09,7.91878e-14,0.212907,0.000435528,0.000243328,0.000108049,1.66658e-08,2.19099e-06,5.40276e-09,0.226071,0.000529747,0.000237305,0.000158493,3.06476e-08,3.31324e-06,2.34818e-09,0.16603,0.000155377,5.76817e-05,4.12707e-07,1.65563e-12,-4.69019e-09,1.14614e-12,0.170046,0.000123656,4.44449e-05,1.3725e-06,1.05347e-11,7.48404e-09,-1.98243e-12,0.200541,1.12175e-05,0.000147489,0.000203541,3.51992e-08,-5.82613e-07,2.17165e-09,0.215784,0.000323845,0.000258672,0.000111535,1.5536e-08,9.92791e-07,1.08414e-08,0.210864,0.000211954,0.0001543,0.000107193,1.37717e-08,1.5339e-06,-6.22919e-10,0.20699,0.000184929,0.000362215,7.07706e-05,5.1501e-09,-8.42139e-07,-1.00928e-08,0.210493,8.41509e-05,0.000144667,0.000142109,2.03726e-08,1.24959e-06,-3.62752e-10,accident
0.166626,0,0,0,0,0,0,0.191796,5.77658e-05,6.4644e-06,8.66105e-05,1.92019e-09,-6.49116e-07,-7.16081e-10,0.210159,9.41352e-05,0.000196537,4.3111e-05,2.2385e-09,1.91392e-07,-3.27666e-09,0.166288,8.23565e-06,3.16011e-06,4.99571e-08,1.97847e-14,-1.43128e-10,1.60056e-15,0.175536,0.000590521,0.00012621,1.52814e-05,-6.22351e-10,-3.63543e-07,-2.51117e-10,0.222787,0.00175636,9.7704e-05,0.000103279,-7.46859e-09,3.98644e-06,7.20102e-09,0.168925,0.000326258,9.48584e-05,7.66862e-07,-5.79185e-12,-1.31985e-08,-3.0386e-12,0.211759,0.000158468,0.000177711,0.000138084,2.08419e-08,1.73745e-06,5.78843e-09,0.237371,0.00120636,0.000107123,8.94931e-05,8.75466e-09,2.85528e-06,3.68955e-10,0.180912,0.000108696,7.07772e-05,2.60263e-05,-7.57364e-10,-2.42333e-07,8.21073e-10,0.166644,5.44737e-05,1.87719e-05,3.60242e-08,-1.1729e-14,-5.92418e-11,-2.72034e-14,0.217027,0.000447417,7.39813e-05,0.000254913,2.91859e-08,3.71079e-06,1.93298e-08,0.232739,0.00214563,4.16222e-05,7.98959e-05,4.6056e-09,2.14449e-06,-1.25849e-10,0.20071,0.000588365,0.000187145,2.47966e-05,1.65068e-09,-3.86341e-07,3.58578e-10,0.205112,0.000368049,5.26964e-05,1.23221e-05,2.17005e-10,2.35465e-07,2.26937e-10,0.166627,0.000219841,7.57407e-05,1.02625e-07,1.40359e-13,-1.14382e-09,2.49325e-13,accident
0.166626,0,0,0,0,0,0,0.205039,7.00341e-05,0.000118556,0.000106193,1.14429e-08,8.79859e-07,-3.32214e-09,0.217119,0.00123534,0.000147475,7.81167e-05,5.22124e-09,2.72839e-06,6.5603e-09,0.165483,5.45465e-05,2.22328e-05,6.38849e-07,2.40729e-12,-4.71786e-09,4.1793e-14,0.165689,0.00021425,8.18767e-05,7.82854e-07,6.09154e-12,-1.1298e-08,-1.47511e-12,0.197106,6.05557e-05,8.00841e-05,0.000129251,1.3058e-08,-4.06128e-07,1.55255e-09,0.211106,0.000210665,0.000109843,0.00019404,2.8327e-08,5.27504e-07,-2.97111e-10,0.221395,0.00112509,0.00031724,5.94895e-05,7.00946e-09,1.9726e-06,4.20205e-09,0.220113,0.00089415,0.000110247,3.15313e-05,1.81156e-09,8.97888e-07,-4.17596e-10,0.167242,6.45425e-06,1.58743e-06,9.36018e-08,-3.45177e-14,-2.34085e-10,1.05043e-14,0.172048,0.000461617,0.000107616,5.28568e-06,8.77831e-11,-1.85409e-08,-9.04774e-11,0.208064,0.000124517,0.000278246,0.000235368,6.00774e-08,9.86192e-07,4.33136e-09,0.228442,0.00151475,4.36496e-05,2.41486e-05,7.44465e-10,-6.78323e-08,2.45883e-10,0.182046,0.000118263,1.72807e-05,4.4576e-05,1.23449e-09,-4.0956e-07,8.15708e-11,0.229699,0.000174961,5.3616e-05,0.00010138,-2.668e-10,1.14104e-06,-7.46962e-09,0.217423,0.000993026,0.000217914,1.55984e-05,8.7215e-10,3.99645e-07,-2.57663e-10,accident
