@relation 'image_classification-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute VnHhisto_1 numeric
@attribute VnHhisto_3 numeric
@attribute VnHhisto_4 numeric
@attribute VnHhisto_6 numeric
@attribute VnHhisto_7 numeric
@attribute VnHhisto_8 numeric
@attribute VnHhisto_9 numeric
@attribute VnHhisto_12 numeric
@attribute VnHhisto_13 numeric
@attribute VnHhisto_43 numeric
@attribute VnHhisto_53 numeric
@attribute VnHhisto_74 numeric
@attribute VnHhisto_83 numeric
@attribute VnHhisto_94 numeric
@attribute VnHhisto_96 numeric
@attribute VnHhisto_100 numeric
@attribute VnHhisto_108 numeric
@attribute VnHhisto_113 numeric
@attribute VnHhisto_146 numeric
@attribute VnHhisto_149 numeric
@attribute VnHhisto_154 numeric
@attribute VnHhisto_160 numeric
@attribute VnHhisto_175 numeric
@attribute VnHhisto_178 numeric
@attribute VnHhisto_192 numeric
@attribute VnHhisto_195 numeric
@attribute VnHhisto_219 numeric
@attribute VnHhisto_247 numeric
@attribute VnHhisto_252 numeric
@attribute VnHhisto_258 numeric
@attribute VnHhisto_262 numeric
@attribute VnHhisto_271 numeric
@attribute VnHhisto_273 numeric
@attribute VnHhisto_279 numeric
@attribute VnHhisto_281 numeric
@attribute VnHhisto_335 numeric
@attribute VnHhisto_351 numeric
@attribute VnHhisto_358 numeric
@attribute VnHhisto_366 numeric
@attribute VnHhisto_376 numeric
@attribute VnHhisto_382 numeric
@attribute VnHhisto_396 numeric
@attribute VnHhisto_403 numeric
@attribute VnHhisto_413 numeric
@attribute VnHhisto_419 numeric
@attribute VnHhisto_422 numeric
@attribute VnHhisto_439 numeric
@attribute VnHhisto_449 numeric
@attribute VnHhisto_451 numeric
@attribute VnHhisto_454 numeric
@attribute VnHhisto_455 numeric
@attribute VnHhisto_458 numeric
@attribute VnHhisto_465 numeric
@attribute VnHhisto_499 numeric
@attribute VnHhisto_502 numeric
@attribute VnHhisto_503 numeric
@attribute VnHhisto_504 numeric
@attribute VnHhisto_505 numeric
@attribute VnHhisto_506 numeric
@attribute VnHhisto_507 numeric
@attribute VnHhisto_509 numeric
@attribute VnHhisto_511 numeric
@attribute class {accident,bomb,car,casualty,injury}

@data
61375,54049,52808,50753,52990,54573,55502,57393,57644,63431,62196,61462,60410,41095,37149,37518,39325,40188,62002,61823,62026,61519,61420,61453,60770,60986,60384,55517,57789,64572,62066,60861,60530,60399,60542,57345,58407,57231,56400,54435,54974,56059,56366,54223,55302,55499,62154,62154,62154,62049,61761,58115,55599,41039,38375,38648,39468,43247,48246,53418,61991,65280,accident
62920,56184,53427,49528,47219,46131,45530,48439,48973,59541,60698,61058,54159,29905,33625,27599,22478,34550,56332,60187,61527,61356,61304,61209,60710,60428,59017,48980,57236,60784,48737,54292,55617,57542,59029,52896,49525,52235,54356,52850,52056,52182,50782,52976,56803,58870,60546,60889,61106,58772,55994,53854,51490,48401,34527,35145,38254,40948,43219,47057,61610,65280,accident
64030,60372,58897,56991,56049,54902,56033,58382,58822,59895,58393,59113,59890,60409,58406,57768,39441,29493,52982,53704,53859,61468,59894,60685,60568,60888,59022,53400,59538,62342,58191,61302,61465,59904,57049,54297,54557,54875,54192,53588,53306,54103,54941,56266,56227,56889,55733,59040,58863,60512,60885,60919,53395,52063,28238,15834,15006,20069,25155,32117,60092,65280,accident
61648,55626,53666,50132,48819,49669,52583,55999,56214,59050,59826,54733,39465,33518,34379,38930,45137,45266,61945,61874,61963,61846,61199,60891,60220,59667,61131,53168,60121,62373,59871,62687,62673,60577,60831,54372,54094,52724,52517,54320,53455,54067,53024,54444,54058,52692,57112,60009,59722,60212,61249,61177,60902,53740,31195,22060,16163,17429,21080,33713,50180,65280,accident
64567,60964,59573,56307,55422,54824,54781,56828,57015,59487,59899,61129,60775,53180,47296,40363,31013,36172,57670,60817,61475,61170,61174,60853,61516,61473,60057,52817,57204,64751,64191,58683,58997,60208,59056,51878,52193,52241,53344,53628,54197,54420,61265,61937,61296,61472,57906,55117,54580,53985,54009,53860,53055,54876,41158,28159,22108,22721,24590,27793,48085,65280,accident
65280,62747,61454,57907,56096,54301,52492,48393,47358,53335,54129,54386,53802,45945,44917,43372,34176,32005,53328,55649,57132,56883,57790,57316,55861,56425,54131,45951,59718,64806,62338,53214,50868,48765,48767,54232,53410,53476,52769,53399,53460,54272,53481,52776,54858,55713,56849,55905,52363,38606,38860,39326,45959,40490,47580,50581,53619,56652,59656,62317,64332,65280,accident
65180,64547,61529,55749,53537,51385,49480,44948,43976,52410,55583,61530,57645,37910,35541,32421,39835,50602,55003,55523,57053,57774,58126,57779,57779,57774,57776,53829,61612,63175,58367,57200,58304,58333,58655,54071,54386,55200,55620,55929,56213,55924,56606,56229,56795,56791,58018,51668,49168,44871,43454,41077,45017,41249,46482,47920,49359,51313,53373,55433,61900,65280,accident
65280,64405,63851,61906,60252,58590,56933,53594,52463,42902,45988,61750,61274,54815,53340,52647,52076,48710,53254,53791,53395,52645,53936,54734,55373,54505,54043,51192,60898,63691,60550,59308,58601,55527,55531,47968,48897,50452,50309,51632,51196,52166,52698,53032,57189,56525,56188,48140,48245,46332,44911,46770,50699,42746,46031,47802,49571,51199,52617,54039,60907,65280,accident
65280,62041,60060,56853,55778,54714,53612,49458,48318,54296,53983,52734,53133,53831,54068,51763,40662,34573,53817,53380,54008,54235,54885,54899,54088,54289,54992,56595,63041,61217,56637,58892,59301,59401,60242,50686,48315,51587,51573,51181,51198,53769,51828,50929,54407,54718,55667,37682,36682,38748,40010,43823,53751,43255,46294,47990,49505,50781,52184,54306,60063,65280,accident
65280,63514,62566,60375,59252,58224,57457,55364,54799,54114,54472,53583,54081,54247,54622,54138,54503,55898,46436,49058,47257,50626,54632,55796,55972,55971,52749,51197,60326,63523,56359,53677,54689,54540,55217,50884,51595,52273,53418,53418,51893,52729,53556,51962,54413,53747,57560,56905,56330,55305,55236,53378,49733,31385,37514,40231,42651,45070,47670,50422,58686,65280,accident
62243,58567,57166,55331,56217,57083,57841,57699,58107,59481,59526,58491,55796,61679,61733,59460,38970,57289,59862,60620,61077,61457,62044,61789,61389,61427,61137,51932,56069,62888,58749,61295,61039,61365,60907,60740,58313,58212,59586,59901,59583,59629,60175,60447,60788,60683,60502,61301,61422,61494,61593,61399,61813,27217,27448,32664,41427,48774,51379,53413,59490,65280,accident
60858,53659,51918,48713,48007,50514,53257,54638,55372,59314,59002,59954,61350,59656,59091,37043,55864,59121,59963,60272,60700,60655,61465,61427,61280,60992,59969,50822,58978,64298,63090,62783,62618,61621,58768,58451,59542,59481,59415,59648,59604,60223,59873,60311,60291,60136,59997,60186,59326,57448,57179,58289,57178,51913,48065,43651,44392,46247,48299,49889,56312,65280,accident
63848,57766,56303,53476,51975,51403,53843,56922,57182,59640,60099,56259,59135,57292,47225,38000,59055,60565,60334,59869,61049,61232,60750,60924,60633,60648,60130,56887,61575,63706,61042,62392,60208,59834,59219,59513,59455,59620,59676,59857,59960,59596,59768,60004,60290,60624,61917,59925,58517,53463,51851,45974,61299,46180,44703,39337,35707,38118,41350,44883,51710,65280,accident
63753,61133,59957,57164,56438,56002,55949,57710,58199,58387,58161,58093,59131,58561,58719,58850,58641,57394,57484,60178,60084,60069,61246,61087,60725,61407,59286,47225,56879,64081,59409,58975,59412,58644,59022,59006,58756,59089,59071,59025,59441,59073,59995,59802,59917,59974,61025,61247,60689,56585,55257,51764,53093,39139,20221,16686,18189,20774,31348,42921,54410,65280,accident
64377,59005,56549,54020,52501,51321,52138,55840,55767,59539,58933,57952,56554,55416,55564,56280,46801,43830,60273,60371,60696,60490,61056,60900,61314,61528,60753,49822,52765,64641,62632,58831,59268,61305,61295,58015,58355,58729,59038,59048,59624,59516,59897,60660,60136,60184,61681,60311,59434,58137,57603,47444,59884,34332,25617,23543,24668,34066,38944,42048,50344,65280,accident
64893,63878,63468,62908,62934,62431,61944,60754,60263,59902,59224,59848,59807,60456,60208,60540,60384,60910,39045,38351,58154,58744,60900,60583,61510,61175,58891,50585,62789,59246,54655,58363,58374,59333,58940,58017,59068,59054,58578,58749,59123,60094,59341,59195,60336,60050,60530,60978,60940,60528,60511,60523,60839,58027,33277,14240,13580,18133,23343,28080,53774,65280,accident
64690,62744,61904,59823,59125,58545,59071,59472,59472,58860,59860,60229,60222,60096,59667,59066,58950,44810,60733,60617,60423,60728,62044,62079,61574,61638,19595,62063,64153,57707,51622,58505,59084,59144,59556,60284,57819,57765,57715,57634,58146,57597,58331,57363,57800,58128,60024,55698,53348,52833,53211,54354,59729,55646,57634,56213,54703,53846,53978,54731,57437,65280,accident
63990,62983,62570,61623,61150,60568,60178,59492,59305,59940,60293,60836,61100,59620,59133,56190,42711,55098,61803,61878,62173,62300,62344,62344,60045,59576,46765,60550,62904,60417,55897,60048,60124,60218,60361,60890,60702,60361,58177,59683,58577,59219,59404,59670,59713,59715,61327,60977,61499,60950,61273,58681,51151,44922,46406,45077,43128,33257,35925,42302,54245,65280,accident
64373,61736,60651,59440,58838,58558,58440,60441,60331,59779,59450,59025,59407,58159,57779,57972,58004,58304,52690,60807,60773,61457,61257,60628,58631,58026,47051,57790,62249,61310,55417,57835,58436,59141,59570,57579,57898,58320,57450,58031,57926,58725,58259,59388,59348,60036,60899,60874,60497,58765,59722,62638,60242,47143,22112,15821,15764,22830,28730,34520,55696,65280,accident
65061,63357,61884,60017,59066,58229,57478,57578,57947,56151,58585,57793,58603,59400,59912,60006,55214,53685,60832,61610,61329,61350,60905,59792,59041,59266,54445,53680,59570,59598,53766,58991,58510,59730,59060,58086,58221,58380,58510,57965,57909,58380,57820,58538,58542,58985,60347,56760,48068,42584,50944,57211,59222,48245,47142,46439,49501,52565,55131,57190,60113,65280,accident
